epoch,train_loss,train_arm_loss,train_gripper_loss,val_loss,val_arm_loss,val_gripper_loss
1,0.30386388299873374,0.2837351333880716,0.02012874812606233,0.10130816008229454,0.09660477031112912,0.004703390250017118
2,0.11861981476979701,0.10842181220529917,0.010198002432765148,0.07438706026568433,0.0705165736281309,0.0038704861889464065
3,0.09129257477831995,0.08381370667939564,0.007478867896522542,0.05573818718159147,0.05257378974356535,0.0031643977832416866
4,0.07814783115102947,0.07220340829111523,0.005944423058130757,0.0492132591033016,0.04629393629676453,0.0029193222538723964
5,0.06777830625012467,0.06269472645886853,0.0050835796589745645,0.0444398465287873,0.041638625674322784,0.0028012212399174813
6,0.0640402787966187,0.05944522645934281,0.0045950526246863865,0.041991712982221395,0.039358822172121256,0.00263289034323972
7,0.05813346711634114,0.05384898160700772,0.004284485612798461,0.037920115536374595,0.03565388684279588,0.0022662285417558168
8,0.05544548770362031,0.051484987711641214,0.0039604998600405875,0.043989742224308556,0.04172813747829634,0.002261604874518744
9,0.05301750096197031,0.04928629068048218,0.0037312101744553365,0.0376548678748768,0.03526125179766244,0.002393616086341046
10,0.05141625636580662,0.04784018166623411,0.0035760746979944633,0.0366514589440328,0.03443398665375635,0.0022174721628358224
11,0.04937143203821206,0.04590732249135874,0.0034641094866130653,0.036764233588149106,0.03433670668046021,0.0024275269864316236
12,0.05133498041418931,0.04795360650866675,0.003381374156432144,0.03278023967671292,0.03090314529569705,0.0018770941274003452
13,0.04690339456910507,0.0437540388497997,0.003149355640059936,0.03402032158490755,0.03200221060427473,0.002018111508049188
14,0.04434595701147622,0.041329462371280254,0.0030164945563536092,0.02989363709360745,0.02800316590821112,0.0018904711771356702
15,0.04277830549090534,0.03990806049526098,0.0028702448787659195,0.03224531614643992,0.030329438796711922,0.0019158771412129993
16,0.04295437200140651,0.040084096711500546,0.002870275309665865,0.030166587446721668,0.028063774582142483,0.0021028130092739378
17,0.040640452687046885,0.03787725237673647,0.002763200371374003,0.03228385681246483,0.030237305194182117,0.002046551750719718
18,0.04027711037182485,0.03757440814144906,0.0027027021648696552,0.027184562378686897,0.025267889341059672,0.0019166728515625639
19,0.04036080166044328,0.03770901469196243,0.00265178706728035,0.028172493509639147,0.026205146894690307,0.0019673465928315946
20,0.03820349540272175,0.035645645433720966,0.002557850036856829,0.03220005317222066,0.03028534070957713,0.0019147125557091658
21,0.03817641908195596,0.035577414937715865,0.0025990041659897105,0.028032973581373435,0.02616492789958168,0.0018680455029884803
22,0.03802956704226495,0.035485153566896084,0.002544413575746423,0.028990130224538294,0.02716098921280221,0.0018291411912055402
23,0.03756828235410987,0.03509075145471934,0.002477531179802744,0.029262689996686617,0.027112576224773227,0.0021501136005047353
24,0.03710476811511432,0.03466864574453046,0.0024361224246834475,0.02835641622074343,0.026473396596564072,0.0018830198438862106
25,0.03794644830996261,0.03544652226945122,0.002499925970356882,0.03286520519396437,0.03054827949477197,0.0023169255449712405
26,0.036016189688779614,0.03365100642848176,0.002365183258256682,0.02764111861309439,0.025838084819490816,0.0018030337438397696
27,0.03533305865617095,0.032985520112205145,0.0023475385937257653,0.02542480953005762,0.023484688391842385,0.0019401212104959932
28,0.03500530493440343,0.0326698772357844,0.00233542778712692,0.02779435972244784,0.02601034657041061,0.0017840132321789329
29,0.034757266257738215,0.032411534907286696,0.00234573159065782,0.027127116944145234,0.025349523787931653,0.001777593533539124
30,0.03575302747299029,0.03340516393230022,0.002347863655956167,0.02984712835033564,0.027535762530198595,0.002311365762978622
31,0.03432209771694606,0.032006702128826864,0.002315395599988861,0.025710567318233467,0.023758306587714495,0.0019522608870717673
32,0.034579965547638335,0.032283983305585136,0.0022959822596175534,0.026149062974343825,0.02409720352193999,0.0020518596459297364
33,0.033884112876448165,0.03163580541448599,0.0022483073653582182,0.02814437468377647,0.026295483161366207,0.0018488913506685154
34,0.03306042172944527,0.030823030878592263,0.002237390815518457,0.02773646747690755,0.025386166278384786,0.0023503010323103275
35,0.03345087609709811,0.031179187946977716,0.0022716881243913544,0.02518856682746707,0.023442585877168163,0.0017459806966167663
36,0.03255334842186605,0.030331344263172823,0.0022220041034958626,0.0260158153647858,0.02425521805733229,0.0017605972352393708
37,0.033081393582982135,0.030824393350139746,0.002257000210200834,0.028290115414088716,0.026150874693335723,0.0021392404259674156
38,0.03402422030000926,0.031769232966057395,0.00225498715956044,0.02513199281240567,0.02343489753244943,0.0016970954440368902
39,0.032339788819917774,0.030121494159519594,0.0022182946547034854,0.024858595786858697,0.023244800319487446,0.001613795080319452
40,0.03246742078637328,0.030286679034760376,0.0021807417856438516,0.02569041163880426,0.02393425143455743,0.001756160575843207
41,0.0322397071611577,0.030058213734525337,0.0021814933695482,0.0248796737991348,0.023289419881178757,0.0015902541810979744
42,0.03182801865430965,0.029676077351977446,0.0021519413418520073,0.025449508827216978,0.02384851141079983,0.0016009973955656454
43,0.031786337470150285,0.029631498992208162,0.0021548384661753735,0.02542371324160921,0.02367388212331204,0.0017498307738810224
44,0.03129282250453714,0.02910309795650301,0.0021897246204870993,0.024639025995659727,0.022847135910745685,0.0017918899601381353
45,0.030840827268222407,0.028699652853482107,0.002141174412973574,0.026853981859267868,0.02521695641744802,0.0016370251790110092
46,0.031249390845876548,0.029140884567014254,0.00210850629849355,0.025044815530081165,0.02336140181629443,0.0016834135668935821
47,0.031181877209454076,0.02906942562476905,0.002112451515422457,0.024362049291232795,0.022922057456980446,0.0014399918966736106
48,0.030539762818093844,0.028494216972519894,0.002045545791757378,0.02312799085874926,0.021603556086065432,0.001524434626656711
49,0.0302108549488909,0.028161878840147318,0.002048976171059314,0.022930872301772258,0.021309641112329622,0.0016212311009736532
50,0.029927340908769445,0.027918712260824284,0.002008628606023982,0.02468378327477814,0.023150241464504357,0.0015335417403912809
51,0.030008218462352673,0.02793977821999959,0.0020684402774303386,0.02692414701453947,0.02515956413464485,0.0017645829004130308
52,0.02989155160631209,0.027828003946349794,0.002063547588401262,0.02494961353330653,0.023501298021264,0.0014483152820098512
53,0.03069715494548245,0.028664445267839015,0.002032709683972782,0.024651934413268673,0.023045888833051417,0.0016060457494275083
54,0.02963286516187608,0.027566515465975203,0.0020663496484908356,0.02559996704558958,0.024034882943347116,0.00156508425446507
55,0.030753129561346217,0.028724114585811106,0.00202901498541506,0.022401191937991647,0.021046147652194223,0.0013550442096528109
56,0.02894063156986774,0.02693032334347756,0.0020103082294776627,0.02432181773352862,0.022615476344873296,0.00170634169243436
57,0.030011769734060657,0.027966215140339253,0.002045554711972065,0.024642272150738217,0.023214680934924424,0.0014275909548036444
58,0.028989606458296898,0.027030799241224146,0.0019588072200573204,0.025001887346115578,0.02343643669449379,0.0015654503004105817
59,0.029303166979636502,0.02726922962535735,0.0020339373148365336,0.02288004918415659,0.021237062644719737,0.0016429866488905723
60,0.029398302549966414,0.027320751092073246,0.0020775515058864013,0.024923334576626533,0.023436311934042046,0.0014870229784068845
61,0.029436669892452947,0.027486372320825368,0.0019502976332572007,0.027565971639364403,0.026020130911610158,0.0015458407424768707
62,0.028557391385780406,0.026559872463009608,0.0019975190629769038,0.024058436040629304,0.0226426079783999,0.0014158277913597606
63,0.028890122499641322,0.026897049715644494,0.001993072702967512,0.02259939468768192,0.021107939216115104,0.001491455577156681
64,0.02882282313492401,0.02682793338298556,0.0019948897793827572,0.022281436850243544,0.020878056921757683,0.0014033800098266938
65,0.028562089747208478,0.026609316769302883,0.0019527728639431084,0.024749863672154145,0.023315585789421257,0.0014342781519370742
66,0.02940571426434674,0.02743274781864487,0.0019729665147586043,0.02492802273562026,0.023483624515018408,0.00144439821214134
67,0.028491392705868916,0.026513782983169087,0.00197760960873734,0.025308055148189502,0.023798872477165788,0.0015091826000086996
68,0.02823095188627226,0.02626330914922389,0.0019676427754704022,0.022376675178991026,0.021043521236196606,0.0013331539900267287
69,0.027838796808057634,0.025918948932158258,0.0019198478708221808,0.023027118130217978,0.020918090735297004,0.0021090271341772976
70,0.029420363450159692,0.027407717055907187,0.002012646379981465,0.023401903287535573,0.021967411399399263,0.0014344918323102513
71,0.028089598752832675,0.026148275196134024,0.0019413235293572577,0.02193394665298544,0.020532372112096804,0.0014015744973869411
72,0.027236905448161767,0.025316306728668237,0.0019205985670575562,0.024301954093409198,0.022731991037619814,0.0015699630035607088
73,0.028315051563201587,0.026399245664325856,0.0019158058212169176,0.025143277387165375,0.023647585986595127,0.0014956915597877703
74,0.02852206168710281,0.026558371557984066,0.0019636901449678317,0.021930708232014647,0.020386195221172382,0.001544512745635171
75,0.028030283042687072,0.02609725867558495,0.001933024352144972,0.02210977469092616,0.020670742630020573,0.0014390319244714936
76,0.02735656967568559,0.025402401144040937,0.0019541684760699327,0.02364751126334732,0.022203265541953933,0.0014442458302475437
77,0.027729538458981157,0.0258189620300842,0.0019105764573875772,0.023721641568581604,0.02234537111587279,0.0013762703868900245
78,0.027394756591335844,0.025456196313861968,0.0019385603969423802,0.023724720864763245,0.02228763851527663,0.0014370824168376272
79,0.028567006395032228,0.02660522042771331,0.0019617860123275813,0.022189104603936572,0.020763994022159275,0.0014251107086183687
80,0.026993743529705478,0.025132445955251898,0.001861297663801951,0.022537861634392253,0.021078641154138485,0.0014592204810531867
81,0.027841553422569554,0.02590603351494767,0.0019355198361637673,0.019593451735969946,0.018248372293678306,0.0013450795089764698
82,0.027037047276761057,0.025189775147484772,0.0018472721589161366,0.02244064093531457,0.02109101772606799,0.0013496233538747133
83,0.027736440323171355,0.025796987868996955,0.0019394524873134022,0.020501941005474165,0.0192238284027116,0.001278112293720693
84,0.02632689504637596,0.024458222189997474,0.0018686729035312395,0.022087329862711256,0.020665613420105117,0.00142171668482995
85,0.02844190987956898,0.026460613691209167,0.0019812962977253795,0.021924918919844348,0.020542772404199335,0.0013821465094495187
86,0.027357328991200244,0.025398704459218612,0.0019586244737997013,0.02144802747153076,0.019942196515070353,0.0015058311363961947
87,0.027238001750955854,0.025325510423359874,0.0019124913318841524,0.023136376784594785,0.02163605371300925,0.0015003230953016164
88,0.027480477452633816,0.025575534068843886,0.0019049434444761552,0.022874584998695636,0.02151245699505267,0.001362128223949385
89,0.026449501754023618,0.024570335714601797,0.0018791662022008718,0.02158351847542202,0.020309874151056586,0.001273644426557767
90,0.026839561557612135,0.024939529025339604,0.0019000325333188462,0.02248078175581917,0.02130884122481844,0.0011719404651819381
91,0.026133357834222413,0.02426764807673875,0.001865709627895073,0.02245106999582487,0.021051459116741313,0.0013996110500925046
92,0.02627360206470607,0.024442637450040744,0.0018309645300854014,0.02145481407855543,0.02015785357684366,0.001296960120988698
93,0.026335676312248996,0.02446981375940672,0.0018658624902177952,0.022825119114655453,0.0214333435027555,0.001391775505244199
94,0.02675628702013398,0.02482639977614325,0.0019298872703372668,0.021909292605046038,0.020462166337837307,0.001447126389253293
95,0.02708634471347059,0.025158624409426115,0.0019277202494474572,0.024416803533427192,0.023007932520646052,0.0014088709283092502
96,0.028338164518829763,0.026409734111991153,0.0019284303903720228,0.021008582451568652,0.019741293156948555,0.0012672890522630515
